"Link","Tesla","Reeve","Elon Mask","Elon Musk","Musk","Total"
"https://en.wikipedia.org/wiki/File:Elon_Musk_Signature.svg","0","0","0","34","36","70"
"https://en.wikipedia.org/wiki/Forbes","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/Elon_Musk#Technology","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#Tesla","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#Other_activities","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#Starlink","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#Childhood_and_family","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#Tham_Luang_cave_rescue_and_defamation_case","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#2018_Joe_Rogan_podcast_appearance","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#Politics","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#Personal_views_and_Twitter_usage","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Ludicrous:_The_Unvarnished_Story_of_Tesla_Motors","33","0","0","8","21","62"
"https://en.wikipedia.org/wiki/Help:Pronunciation_respelling_key","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/Members_Only_(South_Park)","2","0","0","5","8","15"
"https://en.wikipedia.org/wiki/Justine_Musk","8","0","0","12","40","60"
"https://en.wikipedia.org/wiki/List_of_awards_and_honors_received_by_Elon_Musk","19","1","0","26","68","114"
"https://en.wikipedia.org/wiki/Musk_family","5","0","0","20","47","72"
"https://en.wikipedia.org/wiki/Kimbal_Musk","14","3","0","12","81","110"
"https://en.wikipedia.org/wiki/Elon_Musk#The_Boring_Company","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Maye_Musk","5","0","0","14","45","64"
"https://en.wikipedia.org/wiki/Neuralink","7","0","0","44","74","125"
"https://en.wikipedia.org/wiki/One_Crew_over_the_Crewcoo%27s_Morty","2","0","0","8","11","21"
"https://en.wikipedia.org/wiki/Power_Play:_Tesla,_Elon_Musk,_and_the_Bet_of_the_Century","25","0","0","19","34","78"
"https://en.wikipedia.org/wiki/Help:IPA/English","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/Elon_Musk_filmography","5","0","0","16","21","42"
"https://en.wikipedia.org/wiki/Elon_Musk:_Tesla,_SpaceX,_and_the_Quest_for_a_Fantastic_Future","13","0","0","15","31","59"
"https://en.wikipedia.org/wiki/COVID-19_misinformation","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/Errol_Musk","7","2","0","26","68","103"
"https://en.wikipedia.org/wiki/EBay","1","0","0","0","0","1"
"https://en.wikipedia.org/wiki/Neurotechnology","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/Grimes","6","0","0","30","43","79"
"https://en.wikipedia.org/wiki/OpenAI","8","0","0","26","42","76"
"https://en.wikipedia.org/wiki/List_of_lawsuits_involving_Tesla,_Inc.","275","0","0","39","93","407"
"https://en.wikipedia.org/wiki/Hyperloop","12","0","0","39","80","131"
"https://en.wikipedia.org/wiki/Talulah_Riley","6","0","0","17","31","54"
"https://en.wikipedia.org/wiki/Elon_Musk%27s_Tesla_Roadster","90","0","0","54","83","227"
"https://en.wikipedia.org/wiki/Pennsylvania_Dutch","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/SolarCity","85","0","0","21","31","137"
"https://en.wikipedia.org/wiki/Elon_Musk#SolarCity_and_Tesla_Energy","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#Personal_life","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#SEC_lawsuit","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Fellow_of_the_Royal_Society","0","0","0","2","2","4"
"https://en.wikipedia.org/wiki/File:Elon_Musk_2015.jpg","16","0","0","22","34","72"
"https://en.wikipedia.org/wiki/Template:Elon_Musk_series","4","0","0","13","18","35"
"https://en.wikipedia.org/wiki/Elon_Musk#References","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/TSLAQ","68","0","0","18","29","115"
"https://en.wikipedia.org/wiki/Template_talk:Elon_Musk_series","11","0","0","7","14","32"
"https://en.wikipedia.org/wiki/The_Platonic_Permutation","2","0","0","9","14","25"
"https://en.wikipedia.org/wiki/The_Musk_Who_Fell_to_Earth","2","0","0","10","54","66"
"https://en.wikipedia.org/wiki/Starlink","7","0","0","48","76","131"
"https://en.wikipedia.org/wiki/University_of_Pretoria","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/Elon_Musk#cite_note-7","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#X.com_and_PayPal","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Tesla,_Inc.","1111","0","0","130","230","1471"
"https://en.wikipedia.org/wiki/Elon_Musk#cite_note-sjmn20140411-11","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#Twitter","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#cite_note-6","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#cite_note-5","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#searchInput","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/University_of_Pennsylvania","2","0","0","5","5","12"
"https://en.wikipedia.org/wiki/Elon_Musk#Zip2","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/The_Boring_Company","20","0","0","72","103","195"
"https://en.wikipedia.org/wiki/Elon_Musk#cite_note-Times220707-4","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#cite_note-8","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/SpaceX","22","0","0","69","103","194"
"https://en.wikipedia.org/wiki/Elon_Musk#cite_note-GrimesVanityFair2022-1","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#OpenAI","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Pretoria","0","0","0","1","2","3"
"https://en.wikipedia.org/wiki/Elon_Musk#mw-head","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Elon_Musk#cite_note-:3-9","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Queen%27s_University_at_Kingston","2","0","0","4","5","11"
"https://en.wikipedia.org/wiki/Tesla_Energy","230","0","0","32","57","319"
"https://en.wikipedia.org/wiki/Wikipedia:Good_articles","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/PayPal","6","0","0","8","18","32"
"https://en.wikipedia.org/wiki/Vactrain","1","0","0","3","7","11"
"https://en.wikipedia.org/wiki/X.com","5","0","0","18","36","59"
"https://en.wikipedia.org/wiki/Twitter,_Inc.","9","0","0","53","106","168"
"https://en.wikipedia.org/wiki/Elon_Musk#Wealth","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/U.S._Securities_and_Exchange_Commission","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/Wikipedia:Protection_policy#semi","0","0","0","0","0","0"
"https://en.wikipedia.org/wiki/Zip2","8","0","0","15","32","55"
"https://en.wikipedia.org/wiki/Elon_Musk#cite_note-10","194","3","0","333","683","1213"
"https://en.wikipedia.org/wiki/Stanford_University","1","0","0","0","0","1"
"https://en.wikipedia.org/wiki/Views_of_Elon_Musk","61","0","0","144","325","530"
